timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778052203.664736,-0.017674,-2.462296,2.000000,2.000000,0.811730,0.584033,4.897254,0.621246,0.265557,0.014447,0.653344,0.224232,1.000000,0.224232,2
1778052203.864575,-0.018746,-2.461643,2.000000,2.000000,0.769269,0.638925,4.897100,0.654663,0.219320,0.014408,0.632961,0.043991,1.000000,0.043991,2
1778052204.064498,-0.022087,-2.458296,2.000000,2.000000,0.790248,0.612787,4.895431,0.654171,0.220094,0.014385,0.637688,0.223850,1.000000,0.223850,2
1778052204.264496,-0.022140,-2.457955,2.000000,2.000000,0.858403,0.512976,4.895142,0.608548,0.283177,0.014189,0.679491,0.226550,1.000000,0.226550,2
1778052204.464473,-0.021943,-2.457883,2.000000,2.000000,0.909116,0.416543,4.894995,0.565482,0.342881,0.013470,0.266104,0.222671,1.000000,0.044268,2
1778052204.669606,-0.021213,-2.458640,2.000000,2.000000,0.934373,0.356296,4.895383,0.507254,0.423861,0.012354,0.249100,0.227296,1.000000,0.227296,2
1778052204.864677,-0.017460,-2.462258,2.000000,2.000000,0.926022,0.377470,4.897131,0.511551,0.418005,0.012484,0.257520,0.046362,1.000000,0.046362,2
1778052205.067017,-0.017345,-2.463114,2.000000,2.000000,0.875279,0.483618,4.897864,0.570773,0.335622,0.013584,0.272087,0.226776,1.000000,0.226776,2
1778052205.264520,-0.017494,-2.463153,2.000000,2.000000,0.817421,0.576040,4.897961,0.619375,0.268132,0.014492,0.660505,0.045382,1.000000,0.045382,2
1778052205.471469,-0.019375,-2.463185,2.000000,2.000000,0.778224,0.627987,4.898765,0.653307,0.221250,0.014450,0.639043,0.226202,1.000000,0.226202,2
1778052205.673233,-0.022493,-2.459966,2.000000,2.000000,0.802189,0.597070,4.897120,0.647326,0.229434,0.014883,0.646686,0.226345,1.000000,0.226345,2
1778052205.869789,-0.022569,-2.459878,2.000000,2.000000,0.869152,0.494544,4.897070,0.592290,0.305811,0.013883,0.281018,0.226174,1.000000,0.226174,2
1778052206.064502,-0.022376,-2.459901,2.000000,2.000000,0.916710,0.399554,4.897011,0.545793,0.370280,0.013161,0.260963,0.228316,1.000000,0.228316,2
1778052206.264568,-0.022249,-2.460287,2.000000,2.000000,0.943090,0.332538,4.897310,0.500759,0.432933,0.011689,0.251125,0.228247,1.000000,0.228247,2
1778052206.464831,-0.019268,-2.462778,2.000000,2.000000,0.938364,0.345649,4.898349,0.499478,0.434577,0.011624,0.257273,0.046424,1.000000,0.046424,2
1778052206.664613,-0.018749,-2.463961,2.000000,2.000000,0.892955,0.450146,4.899213,0.548326,0.366898,0.013265,0.269089,0.227876,1.000000,0.227876,2
1778052206.864636,-0.018943,-2.464035,2.000000,2.000000,0.838184,0.545388,4.899361,0.598574,0.297106,0.014053,0.671473,0.038721,1.000000,0.038721,2
1778052207.064563,-0.020125,-2.463439,2.000000,2.000000,0.802090,0.597203,4.899305,0.639396,0.240387,0.014893,0.646218,0.043423,1.000000,0.043423,2
1778052207.276978,-0.023518,-2.460184,2.000000,2.000000,0.826851,0.562422,4.897741,0.629084,0.254746,0.014603,0.658785,0.223883,1.000000,0.223883,2
1778052207.464554,-0.023233,-2.460020,2.000000,2.000000,0.889450,0.457033,4.897474,0.577454,0.326383,0.013659,0.269564,0.227334,1.000000,0.227334,2
